Genre,Reports,Age,Gpa,Year,Count,Gender,Nationality
Student Affairs,Student complaints filed online are regularly lost in the system with no follow-up.,22,3.23,2,1,F,Indonesia
Athletics and sports,There are no beginner sports programs for students new to physical activity.,28,0.48,5,1,F,Indonesia
Food and Cantines,There is no nutritional information displayed for any items at the cafeteria.,20,1.92,4,1,F,Saudi Arabia
Academic Support and Resources,The exam timetable was released less than two weeks before exams started.,21,2.31,1,1,F,Nigeria
Internship Opportunities,There are no resources for students wanting to work in careers outside the country.,16,1.42,5,1,F,Pakistan
Housing and Transportation,Request for a shoe rack near the entrance. A lot of students leave their muddy shoes near the door and it makes the lobby look untidy. A simple wooden rack would help keep the area organized.,22,2.63,4,1,F,Turkey
Health and Well-being Support,The health center does not communicate with academic staff about student medical needs.,18,0.4,4,1,M,Nigeria
Housing and Transportation,Some stair railings are loose.,24,1.99,5,1,F,India
Financial Support,There is no financial literacy guidance offered to first-year students.,19,1.36,2,1,M,Bangladesh
Academic Support and Resources,Office hours are only once a week and always clash with my other classes.,23,0.51,5,1,F,India
International student experiences,"10. ""There's a lack of awareness and understanding about the challenges faced by international students, which can make it hard to feel supported.""",18,3.62,4,1,F,France
Student Activities,Club elections are poorly regulated and prone to conflicts without oversight.,23,1.12,3,1,F,Malaysia
Academic Support and Resources,I'm not getting enough sleep and it's starting to affect my academic performance. I've tried adjusting my schedule but still can't seem to get enough rest.,19,1.12,1,1,F,Soudan
Financial Support,"Emergency refund needed for medical withdrawal. My brother is undergoing surgery and I need to withdraw my admission to support my family. Today is the final eligibility day for a full refund. If this isn't processed today, I lose 2 lakhs. Please expedite the file.",23,1.16,4,1,M,Turkey
Food and Cantines,Cafeteria staff are consistently rude and dismissive when students complain.,25,1.21,1,1,M,Indonesia
Student Activities,Cultural clubs receive far less funding than sports clubs without justification.,24,3.69,3,1,M,Pakistan
Academic Support and Resources,The course syllabus was changed halfway through the semester without notice.,21,2.77,4,1,F,Bangladesh
Health and Well-being Support,Students with ADHD receive insufficient support or extended time in examinations.,21,3.36,5,1,F,Egypt
Student Activities,Student exchange programs require a GPA far too high for most students.,22,3.45,4,1,F,India
Academic Support and Resources,"Balancing work and academic responsibilities has been a significant challenge, and I am finding it hard to find time for self-care and relaxation.",18,3.33,1,1,M,Soudan
Health and Well-being Support,The mental health chatbot gives generic responses that do not help at all.,22,3.0,5,1,F,Egypt
Athletics and sports,Student athletes get no academic accommodation to balance training and studies.,17,3.45,5,1,F,Bangladesh
Housing and Transportation,The campus shuttle is always late and sometimes does not show up at all.,17,2.95,2,1,M,Bangladesh
Online learning,"The quality of education in online classes is not the same as in-person classes, and it can be frustrating to pay full tuition for a lesser experience.",20,3.5,5,1,F,Mexico
Athletics and sports, The university should offer more sports programs that cater to students' diverse interests and abilities.,20,1.1,1,1,M,Soudan
Athletics and sports,There is no priority booking for student athletes who train on a regular schedule.,19,2.51,4,1,F,Malaysia
Internship Opportunities,The career center gives identical generic advice regardless of academic discipline.,28,0.92,1,1,M,Malaysia
Student Activities,There are no outdoor adventure trips organized by the university this year.,28,1.76,1,1,F,Indonesia
Online learning,The university does not provide data allowances to students for live sessions.,18,2.42,5,1,M,Nigeria
International student experiences,"23. ""I sometimes feel like I have to compromise my cultural identity in order to fit in with my peers.""",22,2.78,4,1,M,Mexico
International student experiences,International students cannot access some government-funded student benefits locally.,20,3.12,4,1,F,Bangladesh
International student experiences,There is no community space specifically for international students to gather.,26,0.36,1,1,M,Saudi Arabia
Financial Support,There is no book or equipment lending program for students who cannot afford them.,19,3.78,3,1,F,Indonesia
Student Activities,There are no creative arts performance spaces available for student club events.,20,2.08,4,1,M,Egypt
Online learning,The time difference for international students can make it difficult to attend online classes and participate in group projects.,22,3.85,1,1,F,Mexico
Health and Well-being Support,The campus health clinic has no doctor available on weekends when I need it most.,27,0.59,5,1,M,Egypt
International student experiences,International students struggle to understand local grading without proper guidance.,24,0.6,5,1,F,Jordan
Health and Well-being Support,There is no proactive outreach to students who miss classes due to health issues.,20,2.25,3,1,F,Saudi Arabia
Internship Opportunities,The career center gives identical generic advice regardless of academic discipline.,26,2.28,3,1,F,Turkey
Online learning,Accessibility tools disabled on lab image. Narrator and high-contrast are unavailable. I rely on them for reading/navigation. Is there an accessibility profile you can enable? I can use a designated station if needed. Not urgent but important. Please advise the approved process. Thanks for supporting accessibility.,28,2.86,2,1,M,Malaysia
Financial Support,The financial aid portal crashes every time I try to submit my application.,21,1.9,5,1,F,Bangladesh
Internship Opportunities,The university career fair only runs once a year which is completely insufficient.,24,1.73,1,1,M,Pakistan
Academic Support and Resources,"Due to continuous loud talking by some students at the library, it has become very difficult to study and maintain concentration. Kindly verify and take action.",17,1.98,3,1,M,Turkey
Academic Support and Resources,The campus has no quiet study spaces available after 9pm for working students.,22,0.57,5,1,F,Indonesia
Housing and Transportation,The campus shuttle is always late and sometimes does not show up at all.,23,3.43,1,1,M,Saudi Arabia
Financial Support,I was charged for a course I officially withdrew from and the refund is pending.,20,1.09,5,1,F,Pakistan
International student experiences,I was charged a currency conversion fee on tuition that was never disclosed.,22,3.96,3,1,F,Pakistan
Academic Support and Resources,It's really frustrating to have limited access to research databases and materials. It's making it hard to complete research assignments and write papers.,16,1.12,2,1,F,Egypt
International student experiences,I was charged a currency conversion fee on tuition that was never disclosed.,19,3.35,1,1,M,Saudi Arabia
Internship Opportunities,The university career fair only runs once a year which is completely insufficient.,19,3.94,4,1,M,Malaysia
Academic Support and Resources,Limited access to technology and software is making it difficult to complete assignments and prepare for the workforce. It's a major issue for students.,24,1.94,2,1,M,Egypt
Academic Support and Resources,CSE Dept doesnt have qualified teachers.,28,1.87,4,1,M,Jordan
Internship Opportunities,The process for getting an internship approved for academic credit is overly complex.,19,2.73,3,1,M,Turkey
Internship Opportunities,"There are no career resources available in the student app, only on desktop.",19,3.0,3,1,M,Egypt
Student Activities,There is no support for students who want to start entirely new societies.,16,1.5,1,1,F,Jordan
Student Activities,Activity subsidies for low-income students are not advertised anywhere on campus.,21,3.38,5,1,M,Pakistan
Student Affairs,Student complaints are routinely dismissed without any proper investigation.,22,0.97,5,1,F,Jordan
Health and Well-being Support,Students who disclose mental health conditions face stigma from some staff members.,20,0.98,4,1,F,Pakistan
Internship Opportunities,Career mentoring is only available during office hours when students are in class.,26,3.65,1,1,M,India
International student experiences,The campus does not acknowledge or celebrate the cultural diversity of its students.,19,0.44,5,1,M,Indonesia
Financial Support,The 'Late Fee' keeps increasing every day even though the bank was closed for a public holiday. We couldn't make the transfer because the servers were down and the branch was shut. We request a two-day extension on the grace period for the July batch.,22,3.48,2,1,F,Bangladesh
Health and Well-being Support,Students with anxiety receive no special accommodation during oral presentations.,18,0.62,4,1,M,Saudi Arabia
Student Affairs,"The ""Contact Us"" form on the university website is broken. Every time I hit submit, the page just refreshes and clears all my text. It's very frustrating when trying to reach out for help.",24,1.2,1,1,M,Pakistan
International student experiences,The university does not provide an international student welcome information pack.,19,3.2,1,1,M,Nigeria
Academic Support and Resources,The difficulty in finding and accessing course materials is causing me to waste time and money trying to complete assignments.,17,1.73,1,1,M,Egypt
International student experiences,The international student support portal is only available in English.,25,1.99,5,1,F,Nigeria
Student Affairs,I’ve been waiting in the queue at the Registrar’s office for three hours. There is only one person working at the desk while five others are visible in the back just chatting. This is a total lack of respect for student time.,23,1.53,3,1,M,India
Internship Opportunities,Career development is not embedded into any course curricula across the university.,17,2.65,5,1,M,Malaysia
Health and Well-being Support, The lack of affordable health insurance options for students is unacceptable.,21,2.08,1,1,M,France
Health and Well-being Support,Students with pre-existing conditions are not given any priority in health services.,22,2.98,5,1,F,Jordan
Housing and Transportation,"Can we have a dedicated spot for food delivery pickups? Currently, the delivery drivers just wait at the gate and it gets crowded. A small table near the security post would be a perfect 'delivery drop-off' point.",24,3.98,3,1,M,Jordan
Academic Support and Resources,"Digital signature failed on my provisional degree certificate. I need this document for a visa interview scheduled for tomorrow morning. The copy I downloaded has an 'Invalid' watermark on the university seal. I need a corrected, verified PDF sent to my registered email within the next hour.",23,0.91,3,1,M,Pakistan
Food and Cantines,The canteen menu has not changed at all this entire semester.,25,0.81,2,1,F,Turkey
International student experiences,My overseas academic transcripts took months to verify due to a slow process.,21,2.34,5,1,M,Saudi Arabia
Online learning,Live lecture streams buffer constantly even on a stable internet connection.,22,3.81,5,1,F,Turkey
Academic Support and Resources,The university does not provide enough past exam papers for revision.,24,1.1,5,1,F,Turkey
Online learning,Power BI workspace Contributor access request. Need to publish departmental dashboards. Read-only currently blocks refresh and edits. Please add my account to the correct security group. Workspace ID ready to share.,16,1.08,3,1,F,Nigeria
Online learning,There is no technical support available during online exams when problems arise.,19,3.61,5,1,M,Indonesia
Student Activities,The activities calendar on the student portal is never kept up to date.,19,3.38,4,1,F,Nigeria
Housing and Transportation,Vending machine in the lobby is eating coins. I tried to buy a snack last night and it took my money without dispensing anything. This has happened to three other students today. The machine needs to be serviced or disabled until fixed.,28,2.12,4,1,F,India
Online learning,Assignment submission on the portal frequently fails and loses uploaded files.,16,1.02,1,1,M,Pakistan
Internship Opportunities,"The competition for available internships and job openings is extremely high, making it even more difficult to secure employment.",27,0.6,4,1,M,Egypt
Student Affairs,There is no clear escalation process to raise complaints beyond faculty level.,26,2.06,4,1,F,Pakistan
Student Activities,There is no inter-university collaboration or joint event program available.,22,2.15,5,1,M,Egypt
Internship Opportunities,The university does not facilitate connections with startups or small businesses.,22,0.96,3,1,F,Nigeria
Housing and Transportation,The lighting in the parking lot has a yellow tint that is a bit dim. Switching to white LED bulbs would make it much easier to find our vehicles and see the locks at night.,25,2.84,4,1,F,Bangladesh
Online learning,Lecturers are not trained to deliver engaging and interactive online classes.,26,2.33,5,1,M,Saudi Arabia
Student Affairs,There is no safe space or dedicated resources available for LGBTQ+ students.,17,3.43,4,1,F,Jordan
Housing and Transportation,The bus stop sign near the gymnasium has fallen over. It’s lying in the grass and new students don't know where to stand to catch the shuttle.,22,2.39,5,1,F,Bangladesh
Academic Support and Resources,The library does not have enough power outlets for students to charge their devices.,20,1.64,3,1,F,Indonesia
Online learning,Assignment submission on the portal frequently fails and loses uploaded files.,17,1.61,3,1,M,Jordan
Student Activities,Student leadership training is only available to formally elected representatives.,24,2.73,1,1,M,Bangladesh
Academic Support and Resources,The library WiFi is slower than the rest of campus and drops frequently.,27,2.97,4,1,F,India
Student Affairs,"I just received an email saying I’ve been withdrawn from the university for non-attendance, but I have attended every single lecture. There must be a massive mistake in the digital roll-call system. Please fix this before my parents see the notification!",18,1.45,2,1,F,Egypt
Athletics and sports,Sports club meetings have no dedicated room and are held in noisy common areas.,17,3.58,4,1,F,Egypt
Online learning,Students receive no notification when new materials are uploaded to the portal.,19,1.21,3,1,M,Indonesia
Housing and Transportation,The 8:00 AM bus broke down on the main bridge and we were stuck there for 45 minutes. I missed my 8:30 AM quiz which is 10% of my grade. Is there any way to get a formal note for my professor?,21,3.87,2,1,M,Nigeria
Athletics and sports,Sports club social media is managed poorly and events are always advertised too late.,16,0.41,1,1,M,Saudi Arabia
Health and Well-being Support,There are no wellness check-ins built into the program for at-risk students.,22,1.19,5,1,F,Malaysia
Health and Well-being Support,Students with ADHD receive insufficient support or extended time in examinations.,20,3.46,5,1,M,Egypt
Health and Well-being Support,The campus clinic only accepts walk-in patients in the morning with no afternoon slots.,18,0.62,3,1,M,Indonesia
Financial Support,The financial aid office only opens during hours that clash with lecture times.,28,3.98,5,1,F,Indonesia
Athletics and sports,The swimming pool is closed for maintenance more often than it is open.,28,0.44,5,1,F,Saudi Arabia
Student Affairs,I’d like to suggest that the university uses a more modern platform for course registration. The current 90s-style interface is incredibly hard to use on mobile devices.,22,2.18,1,1,F,Bangladesh
Athletics and sports,I'm concerned about the lack of diversity on the sports teams. It's important for all students to feel represented and included.,27,1.2,5,1,M,Soudan
Athletics and sports,Student athletes get no academic accommodation to balance training and studies.,19,0.72,1,1,F,Jordan
Internship Opportunities,Students are never taught salary negotiation skills or how to read a contract.,22,3.1,2,1,M,Saudi Arabia
International student experiences,International students are rarely represented in official university communications.,27,1.79,2,1,M,Malaysia
Health and Well-being Support,The wellness app promoted by the university requires a paid subscription.,16,1.99,2,1,F,Malaysia
Internship Opportunities,The job board shows positions that have already been filled and closed.,25,0.34,2,1,M,Bangladesh
Housing and Transportation,The dormitory internet router is shared across too many rooms reducing speeds.,17,3.35,2,1,M,Egypt
Health and Well-being Support,The university does not partner with community health services for student access.,17,2.26,1,1,M,Egypt
Athletics and sports," The gender inequality in sports is apparent, and the university needs to invest more resources into women's sports programs.",16,3.77,4,1,M,Soudan
Housing and Transportation,Hot water in the dormitory showers cuts out without warning almost every morning.,23,1.4,3,1,M,India
Housing and Transportation,Maintenance requests for dorm repairs are submitted but never acted upon.,23,2.07,2,1,M,Nigeria
Financial Support,"Suggestion to add a 'Frequently Asked Questions' section for scholarships on the portal. Many of us have the same questions about eligibility and deadlines, and a simple FAQ page would save a lot of time for the staff.",16,0.47,5,1,F,Turkey
Student Activities,There is no support for students who want to start entirely new societies.,18,2.96,4,1,F,Pakistan
Academic Support and Resources, I am disappointed with the quality of education I am receiving in this course. I expected more from a university.,24,0.37,2,1,M,Egypt
Housing and Transportation,Dormitory laundry machines are broken down or fully occupied most of the time.,24,2.78,5,1,M,Malaysia
Academic Support and Resources,"I'm dealing with some mental health issues that have been affecting my academic performance, and I need to seek help.",22,3.97,1,1,M,Soudan
Online learning,Security alert – unfamiliar login to student email. Alert shows sign-in from another region. Password changed immediately. Please review account activity and enforce sign-out. MFA policy check requested.,22,1.45,4,1,M,Jordan
Internship Opportunities,There are no mock interview sessions offered to help students prepare for jobs.,21,0.89,5,1,M,Malaysia
Athletics and sports, I've witnessed gender inequality within the sports program firsthand and feel it's time for change.,16,0.06,5,1,M,Soudan
Food and Cantines,I witnessed expired products being served at a campus food stall last week.,20,0.66,5,1,M,Saudi Arabia
Academic Support and Resources,Half the computers in the library are broken and have been for months.,19,2.79,2,1,M,Bangladesh
Online learning,Power BI data gateway offline – refresh failures. Scheduled refreshes fail with gateway unreachable. Affects dean’s dashboards. Please restart/restore gateway services. Need ETA for next successful refresh. Kindly share root cause when available. Business-critical. Thank you.,17,0.69,4,1,F,Malaysia
Online learning, The lack of networking opportunities and professional development events for online students can be a major drawback.,25,3.78,3,1,F,Mexico
Academic Support and Resources,My lecturer cancelled three classes in a row without any makeup session offered.,18,3.54,4,1,M,Nigeria
International student experiences,"3. ""I feel like I'm missing out on a lot of social opportunities because I struggle to communicate with other students who don't speak my language. It's frustrating and discouraging.""",26,1.7,2,1,F,France
Housing and Transportation,"I’ve noticed the shuttle stops aren't very well lit at night. As a student who works late shifts at the library, waiting at the North stop feels very sketchy. Installing even one small light would make a big difference for safety.",18,0.38,5,1,F,Saudi Arabia
Housing and Transportation,"Because of the long line for the lift, it becomes difficult to attend classes on time. This is affecting regular activities.",26,3.13,3,1,F,Indonesia
International student experiences,"15. ""Sometimes I feel like there's a divide between international and domestic students, and it's hard to bridge that gap. I think the university should do more to encourage and facilitate cross-cultural interactions.""",16,1.58,1,1,F,France
Athletics and sports,The gym mirrors are cracked and have not been replaced in months.,27,2.56,1,1,F,Indonesia
Internship Opportunities,The career center website is outdated and many resource links are broken.,19,0.63,1,1,F,Malaysia
Student Activities,Many clubs are completely inactive and never deliver on their promised activities.,18,2.2,4,1,F,Egypt
Academic Support and Resources,I cannot renew my library books online because the system is always down.,16,3.77,3,1,M,Nigeria
Internship Opportunities,There are no resources for students wanting to work in careers outside the country.,16,3.79,1,1,F,Nigeria
Food and Cantines,The canteen does not cater for students with specific dietary requirements.,20,1.71,4,1,M,India
Student Affairs,There is no student legal advice or aid service available anywhere on campus.,21,3.14,2,1,F,Turkey
Internship Opportunities,Career development is not embedded into any course curricula across the university.,20,3.86,1,1,M,Bangladesh
Health and Well-being Support,The wellness app promoted by the university requires a paid subscription.,19,0.89,5,1,M,Nigeria
Online learning,Video playback on the learning portal buffers even on a stable connection.,26,0.46,5,1,M,Pakistan
International student experiences,There is no welcome desk to help direct new international students on arrival.,23,2.37,1,1,M,Turkey
Academic Support and Resources,Limited course availability is causing me to feel like I'm not able to fully engage with my academic studies.,25,1.31,1,1,M,Egypt
Student Affairs,"I need an emergency loan to cover my medical bills after a car accident. I saw there is an ""Emergency Fund"" on the website. Who is the specific admin person I need to speak to?",28,2.98,5,1,M,Jordan
Financial Support,The financial aid office only opens during hours that clash with lecture times.,24,3.76,2,1,M,Indonesia
Food and Cantines,"21. ""The cafeteria should offer more vegetarian and vegan options, as there are many students on campus with these dietary restrictions.""",19,1.09,5,1,F,Indonesia
Athletics and sports, The athletic facilities are not well-maintained and are often dirty and overcrowded.,23,0.98,5,1,F,Soudan
Health and Well-being Support,The health center does not communicate with academic staff about student medical needs.,27,2.12,4,1,M,Bangladesh
Financial Support,Need a duplicate copy of the first-semester fee challan. I lost my original file and the bank requires a copy to process my current loan top-up. The online portal doesn't show records that old. Can the accounts office issue a stamped duplicate this week?,19,2.48,4,1,F,India
Health and Well-being Support,Students who disclose mental health conditions face stigma from some staff members.,27,3.76,3,1,M,Pakistan
Financial Support,Financial aid renewal requires too many in-person documents to be submitted.,26,2.12,4,1,F,Malaysia
Student Activities,There are no outdoor adventure trips organized by the university this entire year.,17,3.51,2,1,M,Saudi Arabia
International student experiences,There is no airport pickup service or arrival guidance for new international students.,25,0.82,1,1,M,Egypt
Food and Cantines,"28. ""The desserts in the cantine are always too sweet and unhealthy.""",19,1.36,3,1,F,Indonesia
Food and Cantines,Food prices at the campus canteen increased this semester without any notice.,24,2.82,5,1,F,Jordan
Internship Opportunities,Career development support is unavailable during semester breaks.,17,1.1,5,1,M,Pakistan
Student Activities,The activities calendar on the student portal is never kept up to date.,20,2.09,1,1,F,Turkey
Student Activities,Cultural clubs receive far less funding than sports clubs without any justification.,26,3.05,2,1,M,Pakistan
Housing and Transportation,The university parking is completely full by 8am leaving no space for students.,25,2.76,3,1,M,Saudi Arabia
Student Affairs,The academic integrity policy is applied very inconsistently across departments.,21,1.3,2,1,F,Malaysia
Health and Well-being Support,The health clinic is so far from the main campus that students avoid going.,23,2.48,5,1,M,India
Health and Well-being Support,The health clinic is so far from the main campus that students avoid going.,17,0.94,4,1,M,Malaysia
Student Affairs,Student welfare policies are designed without any meaningful input from students.,18,1.74,4,1,F,Bangladesh
Online learning,"Hey, I saw a weird account name in the ""last modified"" section of our research folder. I don't recognize the user. Can you guys check the logs? I'm worried we got hacked.",20,1.2,4,1,F,Bangladesh
International student experiences,International students cannot access some government-funded student benefits.,19,0.88,5,1,M,Malaysia
Internship Opportunities,Graduate employment statistics on the website have not been updated in two years.,24,3.64,2,1,F,Egypt
Housing and Transportation,The bus stop near campus has no shelter and students get soaked in the rain.,27,2.51,4,1,F,India
International student experiences,There is no translation assistance for important administrative university documents.,21,2.73,2,1,F,India
Academic Support and Resources,My academic advisor has not responded to my emails in three weeks.,28,2.87,3,1,M,Indonesia
Student Affairs,Student welfare policies are designed without any meaningful input from students.,25,2.6,4,1,M,Turkey
Internship Opportunities,There is no support for students who want to pursue freelance careers.,26,2.99,2,1,M,Pakistan
Internship Opportunities,Career mentoring is only available during office hours when students are in class.,20,3.47,5,1,F,Nigeria
Housing and Transportation,Outdoor campus lights remain off at night.,17,2.55,2,1,M,Bangladesh
Internship Opportunities,Career development support is unavailable during semester breaks.,17,1.11,3,1,M,Saudi Arabia
Housing and Transportation,"Because of the long line for the lift, it becomes difficult to attend classes on time.",20,2.6,5,1,M,Egypt
Student Affairs,"My roommate is bringing unauthorized guests into our room every single night and they stay until 4:00 AM. It’s making it impossible for me to sleep or study, and it’s against our housing contract.",27,1.13,1,1,M,India
Financial Support,"Incorrect late fee penalty applied to my account. I paid my dues on the 10th, which was the deadline, but the system recorded it as the 11th and added a 2,000 fine. This fine is preventing me from downloading my hall ticket for tomorrow's external viva. Please remove the penalty and unlock my admit card.",22,1.4,1,1,M,Indonesia
Academic Support and Resources, I am very concerned about the lack of diversity in this course. We are not getting a well-rounded education.,19,2.09,2,1,F,Egypt
Financial Support, The college's scholarship application process is so competitive that it feels like there's no point in even trying.,26,2.25,4,1,M,Egypt
Athletics and sports,The gym wifi does not work so students cannot follow workout apps on their phones.,27,3.66,4,1,F,Pakistan
Internship Opportunities,Students are never taught salary negotiation skills or how to read a contract.,18,3.67,2,1,M,Egypt
Online learning, Technical difficulties with online class recordings can lead to missed lectures and important information.,19,4.0,4,1,M,Mexico
Online learning,The university has not invested enough in its online learning infrastructure.,18,1.67,4,1,F,Bangladesh
Student Affairs,The student council does not represent the interests of minority student groups.,27,2.64,3,1,M,Indonesia
Internship Opportunities,The university does not offer any CV review support to students before graduation.,19,1.24,5,1,F,Malaysia
International student experiences,The university does not help students connect with others from their home country.,17,3.37,4,1,F,Jordan
Online learning,"Proctoring tool crashes during camera check. App closes after verifying webcam. Reinstall didn’t help and I’m mid-exam window. Please provide a stable build or workaround. Urgent, please.",20,2.55,1,1,M,Pakistan
Student Affairs,Is there a way to get my student ID photo changed? The one I have is from four years ago and I don't even look like that person anymore.,27,0.65,4,1,F,Egypt
Athletics and sports,There are no beginner sports programs for students new to physical activity.,27,1.75,5,1,F,India
Academic Support and Resources,"Suggestion to add a 'Language of the Week' corner in the CSE block, showing simple code snippets in different programming languages. It would be a fun, low-key way to spark interest in new tech.",21,3.71,4,1,M,Nigeria
Student Activities,Student club rooms are double-booked constantly with no resolution process.,19,0.45,1,1,F,Nigeria
Food and Cantines,"30. ""The campus needs to provide more options for students who have late classes and need dinner on the go.""",21,2.76,2,1,F,Indonesia
Housing and Transportation,The lock on the post-box is jammed. I can't get my mail out because the key won't turn in the cylinder. I’ve tried using some oil but it didn't help. I need a locksmith or the maintenance team to open it and replace the lock.,20,3.06,5,1,M,Jordan
Athletics and sports,University team selections are perceived as biased with no transparent process.,18,1.41,2,1,M,Bangladesh
Internship Opportunities,Career office staff turnover is so high students constantly lose their contact person.,16,1.7,5,1,F,Saudi Arabia
Housing and Transportation,Campus street lighting near student housing is inadequate and unsafe at night.,26,2.87,5,1,M,Nigeria
Academic Support and Resources,Internal marks for the Python lab have not been uploaded even though the semester is almost over. We have no idea where we stand in terms of our internals and it’s making it hard to prioritize our study plan for the finals. Can the department ensure the instructor updates the portal by this Friday?,18,3.39,5,1,M,Malaysia
Housing and Transportation,Request for replacement of a torn mattress. The mattress provided at the start of the semester has a huge rip in the center and the springs are poking through. It is very uncomfortable and I am unable to get a good night's rest. Can I get a new one from the store?,25,1.14,5,1,M,Jordan
Financial Support,"I'm really struggling to pay for my tuition without any financial aid or scholarships, and it's causing me a lot of stress and anxiety.",22,2.3,5,1,M,Egypt
Housing and Transportation,"The driver missed the turn for the East dorms and refused to go back. He told us we had to walk from the next stop, which is over a mile away, in the dark.",19,2.16,5,1,F,India
Student Activities,Cultural nights are always cancelled due to last-minute budget cuts.,22,2.85,3,1,M,Pakistan
International student experiences,"1. ""I find it difficult to communicate with my peers who are from different countries. Sometimes, I struggle to understand their accents or the way they express themselves.""",17,3.61,4,1,F,France
Health and Well-being Support,The campus health clinic has no doctor available on weekends when students need it most.,22,3.49,4,1,F,Indonesia
International student experiences,There is no designated contact person for international students during holidays.,18,1.03,3,1,M,Jordan
Financial Support,The 'No Dues' stamp used by the office is very blurry. It’s hard to read the date and signature on the final clearance form. Replacing the old rubber stamp with a new one would make the document look more official.,25,3.63,1,1,M,India
Student Activities,Club funding applications are rejected without any written explanation provided.,23,1.18,2,1,F,Saudi Arabia
Athletics and sports,There is no physiotherapy or injury treatment service available on campus.,24,2.26,1,1,F,Nigeria
Academic Support and Resources,The university does not provide enough past exam papers for revision.,22,3.84,3,1,M,Malaysia
Internship Opportunities,The lack of job and internship opportunities available to students is a major concern for those who want to gain practical experience and start their careers.,21,1.36,4,1,M,Egypt
Athletics and sports,The gym does not have enough free weights and students wait a very long time.,18,2.99,3,1,M,Nigeria
Student Activities,There is no annual student culture week to celebrate campus diversity.,17,0.49,5,1,F,Pakistan
Online learning,There is no technical support available during online exams when problems arise.,25,3.25,1,1,F,Saudi Arabia
Student Affairs,The student handbook is severely outdated with policies that are no longer enforced.,25,0.61,2,1,F,Egypt
Online learning,Technical issues during online exams are not resolved quickly enough to help.,27,1.95,4,1,M,Bangladesh
Housing and Transportation,Whiteboards in theory classrooms are damaged. Please look into it.,21,1.25,3,1,M,Bangladesh
Online learning, The limited access to online library resources and research databases made it hard to complete assignments and projects.,27,1.07,1,1,M,Mexico
Academic Support and Resources,Assignment rubrics are vague and applied inconsistently across different lecturers.,27,1.62,4,1,F,Egypt
Athletics and sports,The gym has no air conditioning and becomes unbearably hot in the afternoon.,19,3.67,2,1,M,Indonesia
Online learning,Hey can u guys unblock emails from @partner-corp.com? My boss says they sent the contract but I don't see it anywhere. Probably in the spam thing.,28,2.92,5,1,F,Saudi Arabia
Online learning,The online attendance tracking system records incorrect absences for students.,19,0.39,4,1,F,Nigeria
Athletics and sports,The gym induction is only offered once per semester making access hard for new students.,18,3.27,3,1,M,Pakistan
Food and Cantines,Food from the canteen frequently causes stomach problems among students.,21,0.51,3,1,F,India
Internship Opportunities,The career office does not help students who receive poor internship evaluations.,20,0.44,1,1,M,Turkey
Food and Cantines,"9. ""The sandwiches in the cafeteria are always made with stale bread.""",18,4.82,1,1,F,Indonesia
Food and Cantines,There is only one water dispenser in the entire cafeteria and it is always broken.,28,1.78,3,1,F,Pakistan
Internship Opportunities,There is no support for students who want to pursue freelance careers.,21,0.62,5,1,M,Jordan
Athletics and sports,Female students do not have equal access to the same quality sports facilities.,27,1.18,2,1,M,Turkey
Online learning,Online quiz timers penalize students with slower internet connections unfairly.,19,1.01,1,1,M,Saudi Arabia
Housing and Transportation,Total power outage in Wing 4 during exam week. All the lights and sockets in our wing have been dead since 8 PM while the rest of the building is fine. We have a major end-term paper tomorrow morning and none of our laptops are charged. This is a critical situation for at least 40 students.,20,3.81,2,1,F,Egypt
Academic Support and Resources,The limited access to research databases and materials is causing me to feel like I'm not able to fully explore my academic interests.,22,1.86,1,1,M,Egypt
Internship Opportunities,The job board shows positions that have already been filled and closed.,24,2.18,4,1,M,Turkey
Food and Cantines,The canteen does not cater for students with specific dietary requirements.,19,2.58,2,1,F,Egypt
Student Affairs,"I’m trying to apply for the ""Hardship Fund,"" but the application requires a signature from a person who is currently on sabbatical. Is there an alternative signer?",17,1.96,1,1,M,Pakistan
Athletics and sports," The sports team culture needs to be more welcoming and supportive, rather than exclusive and competitive.",27,2.18,2,1,F,Soudan
Financial Support,"My scholarship amount was credited but it's 2,000 less than the sanctioned amount. Is there a processing fee or a tax deduction that I wasn't aware of? I need an itemized statement of the disbursement for my personal records.",27,1.71,2,1,F,Jordan
Athletics and sports,The university does not provide transportation to off-campus competitions.,17,3.63,3,1,M,India
Financial Support,Financial counseling appointments have a waiting period of over one month.,19,0.93,4,1,M,Bangladesh
Student Affairs,Student representatives on the board have no real decision-making power at all.,16,1.69,5,1,F,Saudi Arabia
Student Activities,Club elections are poorly regulated and prone to conflicts without proper oversight.,16,3.46,2,1,M,Bangladesh
Housing and Transportation,"28. ""I wish the university would provide more information about affordable housing options near the university.""",21,0.61,5,1,F,Yemen
Athletics and sports,Gym booking slots are released at midnight and fill up within minutes each time.,19,2.27,2,1,F,Jordan
Athletics and sports,The gym induction is only offered once per semester making access hard for new students.,18,3.43,2,1,F,Malaysia
Student Activities,Students are not consulted before major changes to the activities program are made.,18,0.36,2,1,F,Jordan
Health and Well-being Support,The health center does not inform academic staff about student medical needs.,18,2.42,1,1,M,Pakistan
Student Activities,There is no annual student culture week to celebrate the campus diversity.,21,0.84,5,1,M,Saudi Arabia
Internship Opportunities,Career development support is completely unavailable during semester breaks.,18,3.33,1,1,M,Bangladesh
